City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
research triangle,Pharma,Thermo Fisher CRG,Public,5000+,Scientist,Masters or Equivalent,1,52000,,"1,560",1500,,United States,1.5x,2023,Not Applicable/None,401k match 6%,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Research Triangle,
san diego,Pharma,Prefer not to say,Private,5000+,Research and Development Intern,High School or Equivalent,1,43800,,Not Applicable/None,0,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Diego,California
bay area,Pharma,Gilead,Public,5000+,Sr Director,PhD or Equivalent,8,310000,,150000,,,United States,N/A (no overtime/salaried),2023,150000,,,6,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,Prefer not to say,Public,5000+,Director,M.D./PharmD/D.D.S. or Equivalent,5,295000,,25%,0,,United States,N/A (no overtime/salaried),2023,"25,000",15K match,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
san diego,Pharma,Prefer not to say,Private,50-200,Scientist I,Bachelors or Equivalent,7,87355,,Not Applicable/None,,,United States,N/A (no overtime/salaried),2023,18000,Automatic 6% 401k match,"$0 Anthem PPO (per paycheck), $1500 deductible",4%,,,,,,,,,,,,,San Diego,California
california,Pharma,Prefer not to say,Public,5000+,Senior Director,Masters or Equivalent,16,275000,,68000,256000,,United States,N/A (no overtime/salaried),2023,100000,"401k match, mega back door Roth 401k, ESPP","HDHP is $8/pay period for 2 individuals after a $10/pp benefit credit for doing bloodwork; HSA contribution from employer is $1,500/yr. Backup care for children, elders, and pets. Fertility benefits and adoption/surrogacy reimbursement",9%,,,,,,,,,,,,,California,
indianapolis,Pharma,Eurofins PSS,Private,5000+,Scientist II,Masters or Equivalent,2,49000,,Not Applicable/None,,,United States,1.5x base,2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Indianapolis,
denver,Pharma,Fortrea,Public,5000+,Associate Director ,Bachelors or Equivalent,15,175000,,"26,250",,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,401k match up to 5%,Very expensive ,5%,,,,,,,,,,,,,Denver,
chicago,Pharma,Prefer not to say,Public,200-1000,Field Reimbursement Manager,Masters or Equivalent,8,165000,,"32,000",,,United states,N/A (no overtime/salaried),2023,Not Applicable/None,3% match - no vesting period,,3.50%,,,,,,,,,,500 RSU,,,Chicago,Illinois
boston,Pharma,Prefer not to say,Start-up,50-200,Sr Quality Systems Specialist,Bachelors or Equivalent,4,94000,,10%,,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,RSUs and 401k match % (4%),HSA match 100%,3%,,,,,,,,,,,,,Boston,Massachusetts
new york city,Pharma,Pfizer,Public,5000+,"Medical Director, Medical Affairs",PhD or Equivalent,8,215000,,20% of base pay,160000,,United States,N/A (no overtime/salaried),2023,50K target in mixed RSU TRSU stock,401K match,,6% after year one,,,,,,,,,,50K target in mixed RSU TRSU stock,,,New York City,
los angeles,Pharma,Kite Pharma,Subsidiary,1000-5000,Associate Scientist,Masters or Equivalent,6,125000,,15000,10000,,United States,N/A (no overtime/salaried),2023,5000,401k $150000 dollar-for-dollar match,"HSA, PPO, HMO - 80-100% of premium paid by employer",8,,,,,,,,,,$25000/yr employee purchase plan with 15% discount,,,Los Angeles,California
san diego,Pharma,Prefer not to say,Public,1000-5000,QC Technician III,Bachelors or Equivalent,4,92000,,6440,15000,,United States,1.5x base >8hrs/ <12hrs; 2x base >12 hrs,2023,1800,401k 100% match up to 15% of base pay,EPO Coverage for $89/ month,8%,,,,,,,,,,Yearly stock grant based on paygrade,,,San Diego,California
los angeles,Pharma,Prefer not to say,Subsidiary,1000-5000,Laboratory Operations Manager,Masters or Equivalent,8,140000,,20000,10000,,United States,N/A (no overtime/salaried),2023,40000,"100% match up to $15,000/year","Health, Dental, Vision",Have not been long enough to have an annual yearly raise,,,,,,,,,,RSU,,,Los Angeles,California
washington d.c. metro,Pharma,AstraZeneca,Public,5000+,Senior Engineer,Masters or Equivalent,11,128700,,15%,,,united states,N/A (no overtime/salaried),2023,Not Applicable/None,,,3.00%,,,,,,,,,,,,,Washington D.C. Metro,
boston,Pharma,Prefer not to say,Public,200-1000,Senior principal scientist,PhD or Equivalent,2,192000,,36000,5000,,United States,N/A (no overtime/salaried),2023,60000,401k match,,5,,,,,,,,,,1000s of stock options,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Start-up,Jan-50,Senior Scientist,PhD or Equivalent,5,165000,,24000,0,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,401k match (4% match),high-deductible plan; HSA and dependent care FSA,7,,,,,,,,,,RSA,,,Boston,Massachusetts
san diego,Pharma,Prefer not to say,Start-up,50-200,Sr Research Associate,Bachelors or Equivalent,4,92222,,9200,,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,,,5,,,,,,,,,,,,,San Diego,California
boston,Pharma,Prefer not to say,Private,50-200,Principal Research Associate ,Bachelors or Equivalent,5,100000,,10000,10000,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Public,5000+,Senior scientist,PhD or Equivalent,3,140000,,21000,13000,,United States,N/A (no overtime/salaried),2023,9800,6% 401k match,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
philadelphia,Pharma,Sanofi,Public,5000+,Manager,Bachelors or Equivalent,8,92800,,13920,,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,9% Match. ,"$2500 max out of pocket, $200 deductible",3%,,,,,,,,,,,,,Philadelphia,Pennsylvania
boston,Pharma,Moderna,Public,1000-5000,Manufacturing Supervisor,Bachelors or Equivalent,3,100000,,14000,,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,4.5% match,,5%,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Arbor ,Private,50-200,Associate scientist ,Masters or Equivalent,5,109000,,12.50%,10000,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,50,4000,3%,,,,,,,,,,3000,,,Boston,Massachusetts
seattle,Pharma,Prefer not to say,Public,1000-5000,Associate Director,Masters or Equivalent,16,209000,,41800,,,United States,N/A (no overtime/salaried),2023,35000,,,Company/Institution does not have annual yearly raise,,,,,,,,,,,,,Seattle,Washington
philadelphia,Pharma,Merck,Public,5000+,Operations Manager,Bachelors or Equivalent,3,96000,,13%,0,,united states,225 for 4 hours and 450 for 8 hours,2023,"10,000",match 75% for up to 6%. Pension included after 3 years,BCBS,5%,,,,,,,,,,0,,,Philadelphia,Pennsylvania
boston,Pharma,Prefer not to say,Public,200-1000,Sr Scientist I,PhD or Equivalent,9,141700,,21255,0,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,401k match up to 3%,Premium covered for health care (BCBS),7,,,,,,,,,,4200 EOY vesting over 4 years at my level,,,Boston,Massachusetts
bay area,Pharma,Series A Startup,Start-up,Jan-50,Senior Research Associate,Bachelors or Equivalent,5,110000,,Not Applicable/None,3500,,United States,N/A (no overtime/salaried),2023,17600,,,3,,,,,,,,,,ISO,,,San Francisco,California
research triangle,Pharma,Amgen ,Public,5000+,Senior Manager ,PhD or Equivalent,2,150000,,27000,40000,,United States,N/A (no overtime/salaried),2023,25000,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Research Triangle,
midwest,Pharma,Prefer not to say,Private,5000+,Senior Scientist ,PhD or Equivalent,16,123000,,25000,10000,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,6% match ,,3,,,,,,,,,,,,,Midwest,
boston,Pharma,Prefer not to say,Public,5000+,Sr. Scientist ,PhD or Equivalent,0,122000,,15%,10000,,United States,N/A (no overtime/salaried),2023,Not Applicable/None,6% match,,Have not been long enough to have an annual yearly raise,,,,,,,,,,7.50%,,,Boston,Massachusetts
denver,Pharma,Prefer not to say,Start-up,Jan-50,Scientist II,PhD or Equivalent,6,103000,,10300,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,,,3%,,,,,,,,,,0.2% over 4 years,,,Denver,
bay area,Pharma,Prefer not to say,Public,5000+,Senior automation engineer ,Masters or Equivalent,5,155000,,18600,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Astellas pharma,Public,5000+,Sr research associate ,Masters or Equivalent,4,89000,,10% annual bonus,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,"401k match up to 6%, additional 5% 401k regardless of employee contribution ","About $400 a month for medical, mental health, dental, and vision for self and domestic partner",2%,,,,,,,,,,,,,Boston,Massachusetts
philadelphia,Pharma,Prefer not to say,Public,5000+,Executive Director,PhD or Equivalent,18,322000,,113000,75000,,United States ,N/A (no overtime/salaried),2023,160000,6%,,3.8,,,,,,,,,,0,,,Philadelphia,Pennsylvania
boston,Pharma,Prefer not to say,Start-up,50-200,Data Scientist II,PhD or Equivalent,1,139000,,20500,10000,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,"401k, 50% up to 6% of salary",,3,,,,,,,,,,"~10k options / year, FMV ~$0.71",,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Public,200-1000,Pm,Bachelors or Equivalent,5,130000,,16500,3000,,United States ,N/A (no overtime/salaried),2023,28000,401k with 4% match (must contribute 6% to receive full match),Multiple plan options. PPO ~50/ month out of paycheck for self coverage. 1000/yr HRA reimbursement. Fsa. Can do plan with hsa ,8.33%,,,,,,,,,,"RSUs, isos granted on a recurring basis as well as as hoc grants based on performance",,,Boston,Massachusetts
bay area,Pharma,BioMarin,Public,1000-5000,Senior Manufacturing Supervisor,Bachelors or Equivalent,6,125000,,15000,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,6% match ,,6.5,,,,,,,,,,,,,San Francisco,California
groton,Pharma,Pfizer,Public,5000+,Sr. Associate Scientist,Bachelors or Equivalent,5,85000,,10000,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 6%,Yes,3.5,,,,,,,,,,,,,Groton,
boston,Pharma,Prefer not to say,Public,1000-5000,"Associate Director, R&D Operational Excellence ",Masters or Equivalent,13,180000,,36000,52000,,United States ,N/A (no overtime/salaried),2023,36000,401k 6% match; fully vested after 1yr,"Cigna plans for medical are good. FSA, but no HSA option. I pay $240/month. $200 deductible and $2000 out of pocket max per person. Dental is not great. Eye care is EyeMed and free, but the coverage isn't stellar. ",Have not been long enough to have an annual yearly raise,,,,,,,,,,Company stock. 3yr vest with 50% in year 2 and 50% in year 3,,,Boston,Massachusetts
bay area,Pharma,Genentech,Public,5000+,Principal scientist,Masters or Equivalent,6,205000,,37000,,,United States ,N/A (no overtime/salaried),2023,37000,10% 401k,1250 towards hsa,3.5,,,,,,,,,,,,,San Francisco,California
bay area,Pharma,Prefer not to say,Private,Jan-50,Sr scientist ,PhD or Equivalent,6,176000,, 80000-16000,,,United States ,N/A (no overtime/salaried),2023,500-1000,,,4%,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Prefer not to say,Public,50-200,Principal Research Associate ,Masters or Equivalent,3,85000,,8500,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,,,2400,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Public,5000+,Principal Scientist ,PhD or Equivalent,7,145000,,20000,,,United States ,N/A (no overtime/salaried),2023,20000,"5% for free, then 100%match up to 5%",,3,,,,,,,,,,RSA ,,,Boston,Massachusetts
research triangle,Pharma,Askbio,Public,200-1000,Research Associate ,Bachelors or Equivalent,3,76000,,Not Applicable/None,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,If put 5% in 401k company matches first 3% then half of next 2% for a max of 4% match,Company provides heath insurance. There is deductible though,3%,,,,,,,,,,,,,Research Triangle,
boston,Pharma,Prefer not to say,Public,1000-5000,Sr. QA Manager,High School or Equivalent,11,160000,,29000,,,United States ,N/A (no overtime/salaried),2023,"20,000",4% 401k,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Beam Therapeutics ,Public,200-1000,Senior Research Associate II,Bachelors or Equivalent,7,110000,,11000,5000,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,"401k match, half of 6%","BCBS of MA, Monthly premium for individual is ~$160 including dental and vision. Two deductible options, $500 or $2000 (company puts $1000 towards HSA)",3%,,,,,,,,,,"Annual RSUs, annual ISOs",,,Boston,Massachusetts
cleveland,Pharma,Alkermes,Public,1000-5000,Quality Assurance Associate,Bachelors or Equivalent,10,90000,,8%,,,United States ,N/A (no overtime/salaried),2023,Not Applicable/None,401k 100% match up to 5%,Excellent,5%,,,,,,,,,,,,,Cleveland,
new jersey,Pharma,Rocket Pharmaceuticals,Public,200-1000,Scientist,Bachelors or Equivalent,6,105000,,11000,5000,,United States (Remote),N/A (no overtime/salaried),2023,10000,401k match of 4%,Pay $88/month for premium Aetna plan,4000,,,,,,,,,,I have around 2000 RSUs and 10000 options on a 3 year vesting cycle,,,New Jersey,
san diego,Pharma,Prefer not to say,Start-up,Jan-50,Process Development Associate,Bachelors or Equivalent,7,100000,,10000,8000,,United States of America,N/A (no overtime/salaried),2023,Not Applicable/None,,Healthcare premiums are covered 100%,Have not been long enough to have an annual yearly raise,,,,,,,,,,N/A - not public yet,,,San Diego,California
research triangle,Pharma,GSK,Public,5000+,Manager Supply Chain,Masters or Equivalent,14,151000,,27180,15000,,United States of America,N/A (no overtime/salaried),2023,25000,11% 401k contribution ,,3,,,,,,,,,,,,,Research Triangle,
boston,Pharma,Pfizer,Public,5000+,Associate Scientist (R1),Bachelors or Equivalent,2,70000,,8000,,,United States of America,N/A (no overtime/salaried),2023,Not Applicable/None,401k 4.5% match,,4,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Private,5000+,Sr. Principal Scientist,PhD or Equivalent,8,190000,,18%,,,United States of America,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 6%,,Have not been long enough to have an annual yearly raise,,,,,,,,,,$22500 RSU,,,Boston,Massachusetts
san diego,Pharma,Prefer not to say,Start-up,Jan-50,Quality Control Associate,Bachelors or Equivalent,0,65000,,Not Applicable/None,0,,United States of America,N/A (no overtime/salaried),2023,Not Applicable/None,5% match 401k,99% of health insurance premium paid,Have not been long enough to have an annual yearly raise,,,,,,,,,,0,,,San Diego,California
research triangle,Pharma,Prefer not to say,Public,200-1000,Senior Manager,Masters or Equivalent,12,155000,,30000,,,United States of America ,N/A (no overtime/salaried),2023,30000,5% match,Standard ,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Research Triangle,
bay area,Pharma,Vaxcyte,Public,200-1000,Associate scientist I,Bachelors or Equivalent,2,85000,,9000,,,United States of America ,N/A (no overtime/salaried),2023,40000,,,4,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Pfizer,Public,5000+,Senior associate scientist ,Masters or Equivalent,4,90000,,5000,5000,,United States of America ,N/A (no overtime/salaried),2023,Not Applicable/None,6% match,,5%,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Abbvie,Private,5000+,Senior Scientist I,PhD or Equivalent,2,134000,,8,7000,,Us,N/A (no overtime/salaried),2023,Not Applicable/None,6%,,3.5,,,,,,,,,,Na,,,Boston,Massachusetts
"remote, office based in bay area",Pharma,Amgen,Public,5000+,Scientist,Masters or Equivalent,3,142000,,20000,10000,,US,N/A (no overtime/salaried),2023,Not Applicable/None,"10% 401k match. 5% immediate, 5% after 3 years",,4,,,,,,,,,,,,,"Remote, Office Based In Bay Area",
nyc,Pharma,Prefer not to say,Public,5000+,Supply Chain Manager,Masters or Equivalent,16,165000,,33000,,,US,N/A (no overtime/salaried),2023,33000,5% match if contribute 7%. Another 5% core,,3.75%,,,,,,,,,,Company stocks. 4 year vesting,,,New York,New York
new york,Pharma,Prefer not to say,Public,5000+,HVAC Technician III ,High School or Equivalent,15,75500,,8500,,,US,1.5x,2023,5000,10%,,5,,,,,,,,,,,,,New York,New York
bay area,Pharma,Prefer not to say,Public,1000-5000,Research associate I,Bachelors or Equivalent,2,90000,,7000,5000,,US,N/A (no overtime/salaried),2023,3000,3% 401k match,company paid insurances,Have not been long enough to have an annual yearly raise,,,,,,,,,,ESPP,,,San Francisco,California
"los angeles, ca",Pharma,Prefer not to say,Public,5000+,Regulatory Affairs Manager,Bachelors or Equivalent,14,110000,,15000,0,,US,N/A (no overtime/salaried),2023,Not Applicable/None,5% 401k match,"Value PPO, 1.5k deductible, anthem",4%,,,,,,,,,,LTIs and ESPP,,,Los Angeles,California
philadelphia,Pharma,J&J,Public,5000+,Sr. Scientist,PhD or Equivalent,7,156000,,15%,15000,,US,N/A (no overtime/salaried),2023,15% LTI,"3% match vests after 3yr, pension after 5 yr","HDHP, $1000 employer HSA contribution",5.4 (usually 3%),,,,,,,,,,,,,Philadelphia,Pennsylvania
bay area,Pharma,Prefer not to say,Public,5000+,Principal Scientist,Masters or Equivalent,15,150000,,15,50000,,US,N/A (no overtime/salaried),2023,Not Applicable/None,,,4,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Prefer not to say,Public,5000+,Director,PhD or Equivalent,12,210000,,60000,,,US,N/A (no overtime/salaried),2023,70000,,,4,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,Prefer not to say,Public,5000+,Scientist,PhD or Equivalent,0,170000,,25000,55000,,US,N/A (no overtime/salaried),2023,40000,$15000 401k match,,7%,,,,,,,,,,,,,San Francisco,California
dc,Pharma,Prefer not to say,Public,5000+,Senior Director,Masters or Equivalent,8,215000,,54000,0,,US,N/A (no overtime/salaried),2023,75000,6% 401k,,3,,,,,,,,,,0,,,Washington,District of Columbia
seattle,Pharma,Lyell immunopharma,Public,50-200,Senior Research Associate,Bachelors or Equivalent,4,135000,,"13,000",10000,,Us,N/A (no overtime/salaried),2023,"5,500",Roth 401k 3 %,"Kaiser, 10 dollar copay",6%,,,,,,,,,,Option strike price dependent on start date.,,,Seattle,Washington
bay area,Pharma,Abbvie,Public,5000+,Sr Scientist I,PhD or Equivalent,2,1350000,,8%,,,US,N/A (no overtime/salaried),2023,Not Applicable/None,6% 401k match,,4%,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Pfizer ,Public,5000+,Associate research fellow ,PhD or Equivalent,15,187500,,20%,,,US,N/A (no overtime/salaried),2023,30000,9%,,5%,,,,,,,,,,,,,Boston,Massachusetts
nyc,Pharma,Prefer not to say,Public,200-1000,VP Regulatory,Bachelors or Equivalent,30 or more,350000,,87000,200000,,US,N/A (no overtime/salaried),2023,Not Applicable/None,401(k) match,"Almost free health insurance, vision, dental, life",Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,New York,New York
boston,Pharma,Prefer not to say,Public,200-1000,Senior Associate Scientist ,Masters or Equivalent,4,85000,,6800,,,US,N/A (no overtime/salaried),2023,Not Applicable/None,4%match,Health insurance available ,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
nj,Pharma,J&J,Public,5000+,Senior Director,PhD or Equivalent,12,275000,,100000,,,US,N/A (no overtime/salaried),2023,100000,,,5%,,,,,,,,,,,,,Nj,
boston,Pharma,Takeda,Public,5000+,Research Associate Scientist ,Masters or Equivalent,3,110000,,11000,,,US,N/A (no overtime/salaried),2023,Not Applicable/None,2.5,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Prefer not to say,Public,1000-5000,Engineer I,Bachelors or Equivalent,1,82000,,6600,0,,US,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
denver,Pharma,Prefer not to say,Start-up,Jan-50,Protocol Specialist,Bachelors or Equivalent,7,125000,,Not Applicable/None,0,,US,1.5x base,2023,Not Applicable/None,5% 401k match,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Denver,
nj,Pharma,Prefer not to say,Public,1000-5000,Senior Director,Bachelors or Equivalent,15,260000,,60000,0,,US,N/A (no overtime/salaried),2023,200000,5% match,,4,,,,,,,,,,,,,Nj,
boston,Pharma,Prefer not to say,Public,5000+,Sr. Engineer III ,PhD or Equivalent,9,165000,,30000,,,US,N/A (no overtime/salaried),2023,30000,,,4.5,,,,,,,,,,,,,Boston,Massachusetts
research triangle,Pharma,Prefer not to say,Private,50-200,Associate Director,Bachelors or Equivalent,7,160000,,20%,28000,,US,N/A (no overtime/salaried),2023,Not Applicable/None,4% 401k,"BCBS, typical midrange ",Have not been long enough to have an annual yearly raise,,,,,,,,,,"Equity based on title, 4 year vesting ",,,Research Triangle,
bay area,Pharma,Prefer not to say,Start-up,Jan-50,Scientist II,PhD or Equivalent,2,137000,,Not Applicable/None,0,,US,N/A (no overtime/salaried),2023,Not Applicable/None,401k no match,0,Have not been long enough to have an annual yearly raise,,,,,,,,,,0,,,San Francisco,California
boston,Pharma,Prefer not to say,Public,50-200,Director regulatory ,Masters or Equivalent,9,212000,,40000,,,US,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
st. louis,Pharma,Pfizer,Public,5000+,Scientist,Bachelors or Equivalent,23,98000,,7350,,,US,N/A (no overtime/salaried),2023,Not Applicable/None,4.5% match on employee’s 6.0%,,5,,,,,,,,,,,,,St. Louis,
new jersey,Pharma,Bristol Myers Squibb ,Public,5000+,Senior associate scientist,Bachelors or Equivalent,4,97000,,7760,0,,US,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 5%,Aetna,3,,,,,,,,,,Restricted stock ,,,New Jersey,
research triangle,Pharma,Viatris (Mylan),Public,5000+,Validation and Compliance Associate ,Bachelors or Equivalent,1,55000,,Not Applicable/None,5000,,US,N/A (no overtime/salaried),2023,Not Applicable/None,401k match 4%,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Research Triangle,
ny metro,Pharma,Merck,Public,5000+,"Assoc. Dir, FP&A",Masters or Equivalent,12,147240,,23558,,,US,N/A (no overtime/salaried),2023,20000,"6% 401(k) match, age+service cash balance pension","offers health/vision/dental for non-married domestic partner, pay about $600/mo pre-tax incl. FSA contribution of ~$3K a year",4.5,,,,,,,,,,,,,Ny Metro,
bay area,Pharma,Genentech/Roche,Public,5000+,Senior Principal Scienist,M.D./PharmD/D.D.S. or Equivalent,0,256000,,56000,70000,,US,N/A (no overtime/salaried),2023,56000,,,3,,,,,,,,,,,,,San Francisco,California
san diego,Pharma,Prefer not to say,Start-up,Jan-50,Associate Director ,Masters or Equivalent,8,140000,,Not Applicable/None,0,,US,N/A (no overtime/salaried),2023,Not Applicable/None,4% match,"Free, $39 copay ",Company/Institution does not have annual yearly raise,,,,,,,,,,0,,,San Diego,California
bay area,Pharma,Prefer not to say,Public,200-1000,EHS Specialist,Bachelors or Equivalent,8,120000,,"12,000",7000,,US,N/A (no overtime/salaried),2023,2000,401k match up to 4%,,10,,,,,,,,,,RSU,,,San Francisco,California
boston,Pharma,Sanofi,Public,5000+,Senior Research Associate,Bachelors or Equivalent,3,95000,,9500,15000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,9% 401k match,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
"washington, dc",Pharma,Prefer not to say,Public,200-1000,Clinical Research Manager,PhD or Equivalent,0,115000,,"11,500",,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401K 4% match ,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Washington,District of Columbia
bay area,Pharma,Prefer not to say,Public,5000+,Research Scientist,PhD or Equivalent,0,175000,,25000,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
los angeles,Pharma,Prefer not to say,Start-up,50-200,Senior Manager,Masters or Equivalent,7,170000,,15000,5000,,USA,N/A (no overtime/salaried),2023,20000,4% match,HSA $600,4%,,,,,,,,,,RSU,,,Los Angeles,California
los angeles,Pharma,Prefer not to say,Start-up,Jan-50,Research Associate,Bachelors or Equivalent,4,75000,,Not Applicable/None,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,3,All inclusive,Company/Institution does not have annual yearly raise,,,,,,,,,,0.3,,,Los Angeles,California
boston,Pharma,Prefer not to say,Public,200-1000,Sr. Scientist,PhD or Equivalent,6,137000,,15%,5000,,USA,N/A (no overtime/salaried),2023,11000,100% 401k match up to 4%,"HDHP w/ HSA, company contributes $2400 (deductible amount); also offer more traditional PPO",5.40%,,,,,,,,,,Currently worthless,,,Boston,Massachusetts
bay area,Pharma,Prefer not to say,Start-up,200-1000,Sr. Scientist II - Computational Biology and Machine Learning ,PhD or Equivalent,3,208000,,37440,10000,,USA,N/A (no overtime/salaried),2023,25000,1% 401k match,,4%,,,,,,,,,,,,,San Francisco,California
boston,Pharma,Prefer not to say,Start-up,Jan-50,Sr Associate Scientist,Bachelors or Equivalent,6,113000,,11300,5000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Boston,Massachusetts
boston,Pharma,Pfizer,Public,5000+,Sr. Scientist,PhD or Equivalent,4,120000,,16800,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401K % match,Lots of healthcare benefits. Costs depends on number of dependents.,3,,,,,,,,,,0,,,Boston,Massachusetts
boston,Pharma,Thermo Fisher Scientific,Public,5000+,"Manager, Program Management",Bachelors or Equivalent,5,133500,,13300,0,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,6% 401k match,"UHC insurance, HDHP and PPO plans, $1200 yearly cost with $1750 deductible and $4k OOP max",3.17,,,,,,,,,,ESPP - 5% discount,,,Boston,Massachusetts
bay area,Pharma,Prefer not to say,Public,5000+,Senior Director,Masters or Equivalent,12,275000,,68750,35000,,USA,N/A (no overtime/salaried),2023,120000,"$15,000 401K match",,8,,,,,,,,,,"RSUs, ESPPs",,,San Francisco,California
boston,Pharma,Prefer not to say,Start-up,Jan-50,SRA,Bachelors or Equivalent,1,85000,,8500,,,Usa,N/A (no overtime/salaried),2023,Not Applicable/None,,,5,,,,,,,,,,,,,Boston,Massachusetts
bay area,Pharma,Genentech,Public,5000+,ORDP,Bachelors or Equivalent,0,91000,,8190,12000,,USA,N/A (no overtime/salaried),2023,7280,,,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,San Francisco,California
chicago,Pharma,AbbVie,Public,5000+,Senior Scientist I,PhD or Equivalent,2,119000,,8%,20000,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,401k 6% match plus 3% base contribution,"Healthcare, dental, vision",4.50%,,,,,,,,,,,,,Chicago,Illinois
alachua,Pharma,Lacerta Therapeutics,Start-up,50-200,Scientist II,PhD or Equivalent,2,70000,,Not Applicable/None,,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,3% 401k match,,2,,,,,,,,,,,,,Alachua,
seattle,Pharma,Prefer not to say,Public,200-1000,Scientist 1,PhD or Equivalent,2,115000,,"$8,000 ",7500,,USA,N/A (no overtime/salaried),2023,Not Applicable/None,"6% matched at 50%, 401k",,Have not been long enough to have an annual yearly raise,,,,,,,,,,,,,Seattle,Washington
